	mock_6h_1	mock_6h_2	mock_6h_3	D36E_6h_1	D36E_6h_2	D36E_6h_3
AT5G53592	6	17	14	3	1	0
AT5G53600	0	0	0	0	0	0
AT5G53610	0	0	0	0	0	0
AT5G53620	469	985	1073	568	578	437
AT5G53635	0	0	0	0	0	0
AT5G53637	0	0	0	0	0	0
AT5G53640	0	0	0	0	0	0
AT5G53650	88	173	162	423	319	207
AT5G53660	0	0	0	0	0	0
AT5G53670	0	0	0	0	0	0
AT5G53680	0	0	0	0	0	0
AT5G53700	2	1	2	9	12	1
AT5G53710	35	49	69	36	56	59
AT5G53720	0	0	0	0	0	0
AT5G53730	165	317	249	76	81	49
AT5G53740	0	0	0	0	0	0
AT5G53742	0	0	0	0	0	0
AT5G53750	39	75	71	14	22	12
AT5G53760	119	177	188	101	85	104
AT5G53770	118	270	273	343	283	272
AT5G53780	0	0	0	0	0	0
AT5G53790	0	0	0	0	0	0
AT5G53800	267	485	478	825	676	480
AT5G53810	0	0	0	0	0	1
AT5G53820	0	0	0	1	0	0
AT5G53830	18	42	42	99	94	48
AT5G53840	0	0	0	0	0	0
AT5G53850	935	1831	1833	877	765	742
AT5G53860	1015	2015	2137	162	185	168
AT5G53870	47	78	154	29	44	32
AT5G53880	309	586	564	76	55	59
AT5G53890	182	262	335	191	162	144
AT5G53895	9	6	15	5	8	1
AT5G53900	126	259	225	23	30	11
AT5G53902	0	0	1	0	0	0
AT5G53905	0	0	0	0	1	0
AT5G53910	0	0	0	0	0	0
AT5G53920	42	139	124	28	16	12
AT5G53930	177	273	287	370	261	210
AT5G53940	267	504	379	155	111	81
AT5G53950	0	0	0	0	0	0
AT5G53960	0	0	0	0	0	0
AT5G53970	82	153	165	432	341	299
AT5G53980	0	0	0	0	0	0
AT5G53990	0	0	0	8	4	5
AT5G54000	0	0	0	0	0	0
AT5G54010	0	0	0	0	0	0
AT5G54020	0	0	0	2	1	1
AT5G54030	0	0	0	0	0	0
AT5G54035	0	0	0	0	0	0
AT5G54040	0	0	0	0	0	0
AT5G54043	0	0	0	0	0	0
AT5G54050	0	0	0	0	0	0
AT5G54060	0	0	0	1	0	0
AT5G54062	0	0	0	0	0	0
AT5G54067	0	0	0	0	0	0
AT5G54070	0	0	0	1	0	0
AT5G54075	0	0	0	0	0	5
AT5G54080	261	261	286	429	442	388
AT5G54090	155	247	232	99	100	105
AT5G54095	3	2	0	1	8	1
AT5G54100	72	175	185	1475	1231	990
AT5G54110	290	351	346	3936	3640	2831
AT5G54130	32	72	29	73	61	48
AT5G54140	41	105	71	626	502	441
AT5G54145	65	91	104	23	31	13
AT5G54148	2	10	4	6	10	4
AT5G54150	0	0	0	1	0	0
AT5G54160	1715	1971	2436	27348	25005	22517
AT5G54165	2	1	2	55	53	41
AT5G54170	591	1143	936	2476	1743	1474
AT5G54180	239	436	409	116	99	73
AT5G54190	26	14	6	4	6	9
AT5G54200	102	200	171	175	130	147
AT5G54210	0	0	0	0	0	0
AT5G54215	0	0	0	0	0	0
AT5G54220	0	0	0	0	0	0
AT5G54225	0	0	0	0	0	0
AT5G54230	6	0	0	0	2	0
AT5G54240	18	53	28	7	1	1
AT5G54250	715	1984	1986	97	170	137
AT5G54260	44	84	77	26	42	17
AT5G54270	74719	72290	78999	13510	27024	19343
AT5G54280	166	318	314	634	538	482
AT5G54290	854	1619	1669	539	562	477
AT5G54300	206	349	431	342	393	320
AT5G54310	1052	1728	1721	4025	3422	2910
AT5G54320	0	0	0	0	0	0
AT5G54330	0	0	0	0	0	0
AT5G54340	0	0	0	0	0	0
AT5G54350	0	0	0	0	0	0
AT5G54360	0	0	0	0	0	0
AT5G54365	0	0	0	0	0	0
AT5G54370	0	0	0	0	1	0
AT5G54375	0	0	0	0	0	0
AT5G54380	389	698	685	770	465	465
AT5G54390	660	1409	1361	1138	865	711
AT5G54400	0	0	9	0	1	1
AT5G54410	0	0	0	0	0	0
AT5G54420	0	0	0	0	0	0
AT5G54430	708	1112	1151	2505	2097	1717
AT5G54440	602	1064	1235	1059	895	754
AT5G54450	0	0	0	0	0	0
AT5G54460	0	0	0	0	0	0
AT5G54470	17	5	12	82	59	65
AT5G54480	0	0	0	0	0	0
AT5G54490	38	47	27	348	297	234
AT5G54500	1565	2287	2414	18097	14066	12746
AT5G54510	42	55	78	166	170	107
AT5G54520	41	69	82	63	63	59
AT5G54530	17	31	44	9	8	3
AT5G54540	1245	2031	2012	1584	1630	1218
AT5G54550	0	0	0	0	0	0
AT5G54560	0	0	2	0	1	0
AT5G54569	34	62	41	23	23	12
AT5G54570	3	10	2	0	4	1
AT5G54580	246	486	471	541	447	304
AT5G54585	286	208	302	19	34	44
AT5G54590	86	195	189	459	347	339
AT5G54600	2728	5507	5728	1054	1390	1110
AT5G54610	1778	4388	3712	2638	2974	2286
AT5G54620	8	16	2	9	3	2
AT5G54630	651	760	742	158	185	168
AT5G54640	183	237	212	436	399	303
AT5G54650	209	327	297	2224	1587	1528
AT5G54660	174	316	281	273	221	170
AT5G54670	29	67	81	92	80	59
AT5G54680	833	1504	1602	1530	1633	1254
AT5G54690	10	14	7	15	10	3
AT5G54700	0	16	16	2	3	2
AT5G54710	1102	1685	1672	15592	13278	11675
AT5G54720	217	317	360	3145	2348	2271
AT5G54730	291	554	417	673	493	492
AT5G54740	0	0	0	0	0	0
AT5G54745	0	0	0	0	0	0
AT5G54750	208	377	400	529	433	337
AT5G54760	1138	2238	2075	2822	2536	2152
AT5G54770	65515	111198	143337	4429	7682	6819
AT5G54780	102	156	153	727	598	535
AT5G54790	0	0	0	0	0	0
AT5G54800	279	651	459	488	504	345
AT5G54810	2771	4683	4851	11616	11465	9681
AT5G54820	0	0	0	0	0	0
AT5G54830	335	531	506	1306	1006	945
AT5G54840	63	108	70	643	451	414
AT5G54850	24	47	65	217	180	200
AT5G54855	269	332	416	420	341	270
AT5G54860	288	872	822	3840	3139	2613
AT5G54865	0	0	0	0	0	0
AT5G54870	448	835	785	1170	1031	872
AT5G54880	55	138	124	45	42	30
AT5G54890	51	108	105	117	93	48
AT5G54900	480	1340	1212	1544	1476	1174
AT5G54910	140	491	393	744	619	500
AT5G54920	180	265	243	468	389	255
AT5G54930	223	399	408	407	298	236
AT5G54940	1650	3358	2395	3475	2514	2145
AT5G54950	5	1	0	6	1	2
AT5G54960	2712	2803	3333	2641	2474	2228
AT5G54970	30	89	92	89	92	53
AT5G54980	83	143	87	7	5	19
AT5G54990	0	0	0	0	0	0
AT5G55000	122	239	222	373	350	268
AT5G55010	0	0	0	0	0	0
AT5G55020	0	0	0	1	1	0
AT5G55040	589	1085	1117	1915	1585	1466
AT5G55045	0	0	0	0	0	0
AT5G55050	486	637	535	7852	6829	5489
AT5G55055	0	0	0	0	0	0
AT5G55060	160	336	321	202	157	132
AT5G55070	846	2163	2248	4155	3780	2889
AT5G55080	0	0	0	0	0	0
AT5G55090	11	8	1	640	679	573
AT5G55100	745	1407	1319	2534	2225	1913
AT5G55110	0	0	0	0	0	0
AT5G55120	174	411	428	537	493	362
AT5G55125	50	175	157	80	73	55
AT5G55130	253	574	496	1217	1099	762
AT5G55131	0	0	0	0	0	0
AT5G55132	0	0	0	0	0	0
AT5G55135	0	0	0	0	0	0
AT5G55140	116	244	238	250	221	143
AT5G55150	0	0	1	0	0	0
AT5G55160	526	1008	815	889	751	586
AT5G55170	45	96	60	71	95	53
AT5G55180	444	351	483	588	614	598
AT5G55190	750	1606	1424	950	984	695
AT5G55200	95	180	183	641	474	336
AT5G55210	243	483	487	47	46	53
AT5G55220	1158	2746	2506	203	229	227
AT5G55230	1253	2228	2195	311	372	296
AT5G55240	0	0	0	0	0	0
AT5G55250	6	16	4	13	9	3
AT5G55260	145	235	250	119	90	105
AT5G55270	1	3	0	0	0	0
AT5G55280	952	2079	2026	754	615	485
AT5G55290	140	288	278	555	478	391
AT5G55300	570	1035	1138	703	547	480
AT5G55310	524	972	927	1770	1376	1098
AT5G55320	0	0	0	0	0	0
AT5G55330	0	0	0	0	0	0
AT5G55340	0	0	2	0	0	0
AT5G55350	0	0	0	0	0	0
AT5G55360	0	0	0	0	0	0
AT5G55370	0	0	0	0	0	0
AT5G55380	16	25	23	17	20	15
AT5G55390	705	1130	1093	917	780	675
AT5G55400	221	440	498	870	750	497
AT5G55410	3	9	6	4	1	0
AT5G55430	0	0	0	0	0	0
AT5G55440	0	0	1	0	4	0
AT5G55450	280	965	947	870	1048	549
AT5G55460	49	118	124	246	310	191
AT5G55470	17	49	46	3	1	3
AT5G55480	116	273	441	154	131	125
AT5G55490	2	1	0	2	0	0
AT5G55500	252	543	500	1068	953	768
AT5G55505	0	0	0	0	0	0
AT5G55507	0	0	0	0	1	0
AT5G55508	0	0	0	0	0	0
AT5G55510	111	227	220	326	303	181
AT5G55520	4	3	10	6	3	4
AT5G55530	669	1069	1107	3895	3576	2906
AT5G55540	335	652	653	273	239	187
AT5G55550	133	300	259	250	185	152
AT5G55560	19	47	43	446	382	326
AT5G55565	0	0	0	0	0	0
AT5G55570	4	1	3	1	3	0
AT5G55580	219	402	467	108	80	55
AT5G55590	0	4	2	0	0	0
AT5G55600	487	831	837	1440	1137	947
AT5G55610	356	692	658	2203	2064	1494
AT5G55620	184	306	339	62	70	57
AT5G55630	423	635	634	712	592	549
AT5G55640	89	187	160	107	98	59
AT5G55650	0	0	0	0	0	1
AT5G55660	1839	3345	3248	3040	2365	1913
AT5G55670	351	656	731	1103	983	764
AT5G55680	0	0	0	0	0	0
AT5G55690	0	0	0	0	0	0
AT5G55700	198	328	286	671	493	438
AT5G55710	529	1094	965	107	151	134
AT5G55720	0	1	0	0	0	0
AT5G55730	87	221	374	32	33	21
AT5G55740	304	729	709	24	31	26
AT5G55750	0	0	0	0	0	0
AT5G55760	64	127	126	188	131	110
AT5G55770	0	0	0	0	0	0
AT5G55780	0	0	0	0	0	0
AT5G55790	182	364	313	247	235	185
AT5G55800	0	1	0	1	0	0
AT5G55810	40	73	55	39	62	21
AT5G55820	26	35	11	28	15	18
AT5G55830	0	5	0	0	0	0
AT5G55835	0	0	0	0	0	0
AT5G55840	110	222	184	75	78	55
AT5G55850	796	1354	1174	2247	1962	1731
AT5G55855	0	0	0	0	0	0
AT5G55856	0	0	0	0	0	0
AT5G55860	285	434	507	1090	1010	765
AT5G55870	0	0	0	0	0	0
AT5G55880	0	0	0	0	0	0
AT5G55890	0	0	0	0	0	0
AT5G55893	0	6	0	0	4	4
AT5G55900	36	61	60	89	58	36
AT5G55910	975	1272	1426	1314	1342	982
AT5G55920	578	1377	1299	1895	1468	1358
AT5G55930	423	353	381	4044	3351	3591
AT5G55940	283	641	529	816	707	555
AT5G55950	19	50	55	9	8	6
AT5G55960	978	1774	1871	465	400	354
AT5G55970	80	100	65	242	181	132
AT5G55980	0	0	0	3	0	1
AT5G55990	665	1160	1095	293	321	231
AT5G56000	424	1172	1319	1903	1767	1366
AT5G56010	4951	15405	18618	20938	22119	17169
AT5G56020	72	93	104	125	58	84
AT5G56030	4125	15069	17828	30831	32641	25082
AT5G56040	369	901	1143	112	88	76
AT5G56050	5	12	14	34	42	29
AT5G56060	0	0	0	1	1	0
AT5G56070	0	0	0	0	0	0
AT5G56075	1	0	0	1	0	0
AT5G56080	0	0	0	0	0	0
AT5G56090	77	128	140	195	167	159
AT5G56100	130	174	168	5	17	15
AT5G56110	0	0	0	0	2	0
AT5G56120	12	15	15	7	4	2
AT5G56130	192	387	358	359	297	246
AT5G56140	889	1187	1336	1351	1174	953
AT5G56150	358	619	563	1444	1198	1039
AT5G56160	14	42	38	62	28	38
AT5G56170	295	460	444	1454	1297	1050
AT5G56180	271	387	360	828	840	605
AT5G56190	445	633	648	1670	1457	1141
AT5G56200	0	0	0	1	1	0
AT5G56210	183	307	308	264	260	178
AT5G56220	15	27	27	1	9	7
AT5G56230	3	36	29	49	38	38
AT5G56240	528	899	888	1514	1186	1018
AT5G56250	484	708	648	1739	1470	1296
AT5G56260	905	2080	2012	2112	2028	1592
AT5G56270	309	390	428	366	308	365
AT5G56280	199	521	455	554	406	464
AT5G56290	750	1359	1435	1221	1086	963
AT5G56300	0	0	1	5	4	1
AT5G56310	56	104	76	28	27	17
AT5G56320	3	10	10	13	5	3
AT5G56325	0	0	0	0	0	0
AT5G56330	0	0	0	0	0	0
AT5G56340	277	292	313	1578	1126	789
AT5G56350	945	1503	1839	12066	10968	8608
AT5G56360	658	1384	1533	881	740	608
AT5G56365	0	0	0	0	0	0
AT5G56368	0	0	0	0	0	0
AT5G56369	0	0	0	0	0	0
AT5G56370	20	23	23	13	1	11
AT5G56380	112	201	173	107	59	54
AT5G56390	0	0	0	0	0	0
AT5G56400	0	0	0	0	0	0
AT5G56410	0	0	0	0	0	0
AT5G56420	41	88	88	137	120	125
AT5G56430	0	0	0	0	0	0
AT5G56440	0	0	0	0	0	0
AT5G56450	48	74	88	73	58	45
AT5G56452	0	0	0	0	0	0
AT5G56460	47	154	156	107	75	85
AT5G56470	0	0	0	0	3	0
AT5G56480	0	0	0	0	0	0
AT5G56490	0	0	1	1	1	0
AT5G56500	134	337	403	216	152	144
AT5G56510	0	0	1	6	5	0
AT5G56520	105	201	132	85	71	50
AT5G56530	68	133	90	61	29	25
AT5G56540	5	15	1	4	1	0
AT5G56550	60	162	160	21	11	15
AT5G56555	0	0	0	0	0	0
AT5G56560	0	0	0	0	0	0
AT5G56570	0	0	0	0	0	0
AT5G56580	1	3	11	12	1	2
AT5G56590	55	109	127	21	17	19
AT5G56600	231	782	664	155	123	107
AT5G56610	100	209	195	215	201	174
AT5G56620	0	4	0	0	3	1
AT5G56630	541	795	878	3101	2212	1954
AT5G56640	0	0	0	0	0	0
AT5G56650	308	708	595	468	457	415
AT5G56660	233	442	406	447	489	376
AT5G56670	338	1104	893	1175	1079	823
AT5G56680	733	1532	1478	2632	2396	1914
AT5G56690	0	0	0	0	0	0
AT5G56700	4	2	10	0	0	0
AT5G56710	1174	3008	2873	4037	2932	2280
AT5G56720	12	29	9	37	10	8
AT5G56730	202	324	308	571	424	433
AT5G56740	114	224	221	251	198	158
AT5G56745	0	0	0	0	0	0
AT5G56750	112	175	172	287	170	194
AT5G56760	452	813	1017	909	805	655
AT5G56770	0	0	0	0	0	0
AT5G56780	65	50	76	44	26	37
AT5G56790	195	385	304	242	143	108
AT5G56795	7	28	18	7	7	1
AT5G56800	0	0	0	0	0	0
AT5G56810	1	4	2	8	0	2
AT5G56820	0	0	0	0	0	0
AT5G56840	12	14	18	0	1	1
AT5G56850	468	1550	1070	50	81	96
AT5G56860	178	553	521	16	33	42
AT5G56870	191	187	160	739	897	571
AT5G56880	2	0	0	0	0	0
AT5G56890	365	432	543	349	294	285
AT5G56900	222	418	428	421	379	274
AT5G56910	136	255	236	181	151	125
AT5G56920	0	0	0	0	0	0
AT5G56930	109	161	190	149	152	107
AT5G56940	150	369	362	290	252	180
AT5G56950	535	1195	1334	1626	1495	1170
AT5G56960	0	8	1	204	198	175
AT5G56970	0	1	3	34	32	9
AT5G56975	0	0	0	0	0	0
AT5G56980	159	295	381	844	790	761
AT5G56985	2	2	1	1	3	1
AT5G56990	48	84	81	37	23	33
AT5G57000	43	99	81	86	77	49
AT5G57010	9	17	10	593	331	336
AT5G57015	267	472	544	1132	846	751
AT5G57020	540	987	1063	2270	2240	1835
AT5G57030	1015	2223	2062	180	210	172
AT5G57035	463	915	868	2567	2015	1832
AT5G57040	1341	2055	1785	780	677	687
AT5G57050	131	242	366	249	243	150
AT5G57060	78	145	97	251	263	213
AT5G57070	149	212	230	228	289	190
AT5G57080	8	17	13	11	3	4
AT5G57090	0	0	2	0	0	0
AT5G57100	49	133	99	6	7	9
AT5G57110	2757	3265	4240	792	597	621
AT5G57120	441	961	1082	1242	860	750
AT5G57123	0	0	0	37	20	15
AT5G57130	98	124	130	64	38	56
AT5G57140	53	123	91	55	49	53
AT5G57150	146	292	234	345	190	179
AT5G57160	253	400	434	1277	973	859
AT5G57170	155	344	244	30	28	32
AT5G57180	351	716	531	190	126	109
AT5G57190	29	53	54	496	385	397
AT5G57200	0	0	0	0	0	0
AT5G57210	226	322	419	250	211	233
AT5G57220	37	27	52	1245	1351	1473
AT5G57230	38	126	110	181	130	109
AT5G57240	1	0	0	0	1	0
AT5G57250	186	346	307	280	199	184
AT5G57260	1	1	6	0	0	0
AT5G57270	251	476	442	390	317	244
AT5G57280	112	241	238	492	340	243
AT5G57290	742	1966	2266	2641	2715	1865
AT5G57300	109	299	267	251	205	159
AT5G57320	9	28	15	27	13	20
AT5G57330	664	1077	1176	514	485	333
AT5G57340	128	81	66	28	18	13
AT5G57345	1341	1727	1776	305	616	465
AT5G57350	2721	4819	3426	4117	3211	2508
AT5G57360	746	1192	1285	1089	1024	910
AT5G57370	181	298	296	357	375	273
AT5G57380	0	0	0	0	0	0
AT5G57390	14	50	34	29	32	16
AT5G57400	0	0	0	0	0	0
AT5G57410	44	90	71	117	104	88
AT5G57420	0	0	0	0	0	0
AT5G57440	147	346	333	32	52	40
AT5G57450	15	31	26	8	17	9
AT5G57460	552	833	1028	2375	2030	1699
AT5G57480	85	108	109	2859	2683	2121
AT5G57490	305	524	493	317	327	255
AT5G57500	8	14	2	60	35	29
AT5G57510	4	2	8	107	73	47
AT5G57520	3	0	0	0	1	0
AT5G57530	0	0	0	0	0	0
AT5G57535	0	0	0	0	0	0
AT5G57540	0	0	0	0	0	0
AT5G57550	134	178	121	6	11	6
AT5G57560	195	96	97	1330	518	768
AT5G57565	63	115	80	85	49	46
AT5G57567	0	3	6	0	2	3
AT5G57569	0	0	0	0	0	0
AT5G57570	10	23	21	9	3	7
AT5G57580	1105	1977	2051	3519	3209	2685
AT5G57590	46	81	62	18	12	11
AT5G57610	509	777	985	635	606	605
AT5G57620	0	0	0	1	0	1
AT5G57625	0	0	0	0	0	0
AT5G57630	1949	2103	1711	1374	970	1113
AT5G57640	27	17	10	34	40	19
AT5G57650	0	0	0	0	0	0
AT5G57655	1689	1903	1647	1013	1184	975
AT5G57660	2040	1425	1666	5351	5143	4062
AT5G57670	2	11	3	4	5	2
AT5G57685	46	44	40	57	37	22
AT5G57690	0	1	0	0	1	0
AT5G57700	282	587	660	132	162	80
AT5G57710	3675	5538	6792	24573	19957	20229
AT5G57720	3	0	0	0	0	0
AT5G57735	0	0	0	0	0	0
AT5G57740	84	190	109	364	262	240
AT5G57750	0	0	0	0	0	0
AT5G57760	15	10	20	8	10	8
AT5G57770	0	0	1	0	0	0
AT5G57780	47	106	107	6	9	9
AT5G57785	12	21	11	2	6	1
AT5G57790	35	37	45	9	10	10
AT5G57800	1229	1586	2491	769	767	703
AT5G57810	0	1	2	1	0	0
AT5G57815	203	352	369	141	143	109
AT5G57820	0	4	0	6	5	9
AT5G57830	43	50	92	43	40	48
AT5G57840	27	29	33	32	18	21
AT5G57850	695	1211	1162	370	311	306
AT5G57860	90	173	178	244	172	117
AT5G57870	1962	3994	4618	7200	6380	5564
AT5G57880	33	58	25	11	13	7
AT5G57885	0	0	0	0	0	0
AT5G57887	0	2	1	0	0	0
AT5G57890	62	69	57	49	38	23
AT5G57900	183	219	260	435	355	326
AT5G57910	48	88	75	183	233	133
AT5G57920	0	0	4	2	0	3
AT5G57930	1993	3865	4075	217	383	279
AT5G57940	568	901	833	815	678	573
AT5G57950	129	191	146	280	256	185
AT5G57960	419	769	663	53	69	63
AT5G57970	24	62	75	28	40	26
AT5G57980	0	3	0	2	0	0
AT5G57990	817	2103	2011	3526	3078	2578
AT5G58000	50	100	109	28	26	35
AT5G58003	90	202	189	165	168	104
AT5G58005	97	186	212	107	127	108
AT5G58010	0	0	0	0	0	0
AT5G58020	429	790	749	1429	1385	1028
AT5G58030	246	587	463	857	692	545
AT5G58040	733	1567	1574	2619	2168	2040
AT5G58050	0	1	1	1	0	0
AT5G58060	634	990	1126	2860	2785	1950
AT5G58070	6199	7554	9779	11108	9145	6456
AT5G58080	0	1	3	0	5	0
AT5G58090	230	383	429	82	98	64
AT5G58100	595	1222	1206	953	771	664
AT5G58110	407	692	708	1624	1464	1163
AT5G58120	133	427	371	1756	1453	1160
AT5G58130	270	569	633	601	464	406
AT5G58140	3075	6663	7191	321	435	422
AT5G58150	179	318	300	444	358	384
AT5G58160	184	365	447	260	209	193
AT5G58170	0	0	0	0	0	0
AT5G58180	0	0	0	0	0	0
AT5G58190	109	208	156	354	321	228
AT5G58200	753	1533	1232	1040	871	683
AT5G58210	63	107	125	195	149	101
AT5G58220	608	1327	1239	1679	1618	1164
AT5G58230	240	551	498	932	784	696
AT5G58240	147	310	250	212	219	171
AT5G58250	1486	3180	3224	312	451	310
AT5G58260	961	2473	2327	69	113	106
AT5G58270	477	977	952	687	680	504
AT5G58280	0	0	0	0	0	0
AT5G58290	1380	2257	2218	7694	6890	5386
AT5G58300	147	326	185	85	60	53
AT5G58310	344	1256	1457	9	25	21
AT5G58320	151	151	211	845	625	517
AT5G58330	3590	7356	8012	654	859	751
AT5G58340	53	186	174	44	35	36
AT5G58350	350	473	437	3247	2532	2400
AT5G58360	6	4	3	1	5	2
AT5G58370	94	296	232	56	61	36
AT5G58375	64	149	131	465	394	350
AT5G58380	213	351	357	986	879	705
AT5G58390	9	7	19	3	8	13
AT5G58400	0	0	0	0	0	0
AT5G58410	535	929	901	1398	1120	1078
AT5G58412	0	0	0	0	0	0
AT5G58420	824	2251	2190	2325	2200	1616
AT5G58430	640	923	955	3979	3069	2764
AT5G58440	401	655	811	490	469	370
AT5G58450	387	758	657	597	441	387
AT5G58460	0	0	0	0	0	0
AT5G58465	0	0	0	0	0	0
AT5G58470	511	956	925	1956	1553	1270
AT5G58480	82	187	200	25	30	7
AT5G58490	568	1007	1096	287	330	254
AT5G58495	0	0	0	0	0	0
AT5G58500	2	2	6	3	5	6
AT5G58510	329	564	561	1143	1016	804
AT5G58520	135	219	242	46	61	55
AT5G58530	20	66	80	79	69	45
AT5G58540	9	15	8	97	125	117
AT5G58550	127	191	229	54	55	42
AT5G58560	321	680	616	370	354	274
AT5G58570	211	393	327	181	256	163
AT5G58575	80	133	125	206	197	147
AT5G58580	29	39	28	19	40	14
AT5G58590	195	511	443	332	268	208
AT5G58595	0	0	0	0	0	0
AT5G58600	184	246	244	74	79	56
AT5G58610	1	3	5	5	5	2
AT5G58620	104	308	319	2068	1891	1556
AT5G58630	1	0	0	3	2	4
AT5G58640	230	399	397	710	613	498
AT5G58650	23	22	40	86	103	66
AT5G58660	9	8	4	14	6	7
AT5G58670	1026	1431	1569	402	317	269
AT5G58680	4	1	1	6	1	0
AT5G58690	43	36	52	72	58	45
AT5G58700	130	223	246	430	281	187
AT5G58710	903	3367	2814	3275	3109	2430
AT5G58720	459	688	685	2024	1458	1336
AT5G58730	98	135	115	384	326	264
AT5G58740	344	586	557	460	412	337
AT5G58750	0	0	0	0	0	0
AT5G58760	37	60	93	66	73	67
AT5G58770	59	410	339	149	216	185
AT5G58780	0	0	0	0	0	0
AT5G58782	0	0	0	0	0	0
AT5G58784	0	0	0	0	0	0
AT5G58787	170	302	239	166	159	166
AT5G58790	19	45	23	70	46	51
AT5G58800	304	703	647	207	224	187
AT5G58820	0	0	0	0	0	0
AT5G58830	0	0	0	0	0	0
AT5G58840	1	0	0	35	36	22
AT5G58850	0	0	0	0	0	0
AT5G58860	0	0	16	0	0	2
AT5G58870	1030	1667	1540	1034	1067	883
AT5G58880	0	0	0	0	0	0
AT5G58890	0	0	0	0	0	0
AT5G58900	389	462	456	255	204	203
AT5G58910	0	0	0	0	0	0
AT5G58920	188	304	297	270	248	188
AT5G58930	271	598	644	129	148	91
AT5G58940	148	279	235	2064	1788	1669
AT5G58950	2361	4172	4139	2679	2426	1919
AT5G58960	355	588	772	86	79	74
AT5G58970	129	217	252	77	43	55
AT5G58980	164	263	183	206	139	129
AT5G58990	112	227	181	119	80	67
AT5G59000	234	355	399	55	50	22
AT5G59010	94	220	227	61	39	64
AT5G59020	40	98	101	17	33	6
AT5G59030	549	621	678	515	583	471
AT5G59040	0	0	0	0	0	0
AT5G59050	204	194	230	234	202	183
AT5G59055	0	0	0	0	0	0
AT5G59060	1	4	0	1	0	0
AT5G59070	27	43	31	101	132	147
AT5G59080	541	544	283	466	372	349
AT5G59090	0	4	0	5	1	3
AT5G59100	0	0	0	0	0	0
AT5G59105	0	0	0	0	0	0
AT5G59110	0	0	0	0	0	0
AT5G59120	0	0	0	0	0	0
AT5G59130	1191	2004	2014	479	565	483
AT5G59140	238	516	399	1121	906	643
AT5G59150	233	436	422	976	820	645
AT5G59160	497	951	881	1890	1638	1316
AT5G59170	7	6	0	0	1	2
AT5G59180	94	248	249	293	263	229
AT5G59190	0	0	0	0	0	0
AT5G59200	13	37	46	7	8	4
AT5G59210	310	436	492	879	647	583
AT5G59220	18	44	64	124	78	56
AT5G59230	0	0	0	1	0	2
AT5G59240	1	12	20	20	27	10
AT5G59250	1099	1875	1963	484	523	507
AT5G59260	7	2	0	11	12	4
AT5G59270	0	0	0	0	2	0
AT5G59280	0	0	0	0	0	0
AT5G59290	545	952	1420	1831	1729	1427
AT5G59300	201	394	346	452	439	327
AT5G59305	0	0	0	0	0	0
AT5G59310	17	43	67	4	33	0
AT5G59320	363	1189	1877	74	176	109
AT5G59330	0	1	0	0	0	0
AT5G59340	1	1	4	0	0	0
AT5G59350	299	535	485	69	87	72
AT5G59360	8	8	5	1	0	1
AT5G59370	2	0	4	0	0	0
AT5G59380	53	98	134	183	207	157
AT5G59385	0	0	2	2	0	2
AT5G59390	1	0	0	0	0	6
AT5G59395	0	0	0	0	0	0
AT5G59400	135	138	139	149	79	112
AT5G59410	86	136	157	78	88	56
AT5G59420	1008	1514	1277	6919	6027	4886
AT5G59430	382	541	429	691	548	443
AT5G59440	107	211	224	259	174	164
AT5G59450	204	344	337	566	544	378
AT5G59460	70	187	153	174	155	98
AT5G59470	56	120	100	45	57	35
AT5G59480	122	466	476	357	265	192
AT5G59490	0	1	1	154	77	42
AT5G59500	281	624	696	264	244	186
AT5G59505	0	0	0	0	0	0
AT5G59510	5	8	1	17	7	8
AT5G59520	2	2	1	4	4	2
AT5G59530	3	0	0	21	22	29
AT5G59540	1084	2067	1860	597	550	543
AT5G59550	167	215	354	697	617	557
AT5G59560	103	136	154	166	101	106
AT5G59570	15	178	189	92	49	42
AT5G59580	16	31	35	5	9	7
AT5G59590	0	1	0	0	0	0
AT5G59600	17	66	48	16	8	4
AT5G59610	183	286	264	155	148	110
AT5G59613	924	1730	1434	1787	1369	973
AT5G59616	0	0	0	0	0	0
AT5G59650	27	74	63	11	2	10
AT5G59660	30	54	66	6	0	8
AT5G59662	18	100	98	4	2	7
AT5G59670	814	4537	4003	175	281	230
AT5G59680	106	123	134	354	330	444
AT5G59690	300	536	558	231	202	132
AT5G59700	71	95	116	47	74	69
AT5G59710	286	674	591	580	434	398
AT5G59720	10	6	12	2	13	4
AT5G59730	440	555	605	900	757	755
AT5G59732	17	35	48	36	31	27
AT5G59740	8	11	28	14	4	2
AT5G59750	509	1019	769	131	166	150
AT5G59760	2	5	3	2	0	5
AT5G59770	210	324	308	85	70	76
AT5G59780	221	227	139	202	154	119
AT5G59790	77	155	212	1088	1014	922
AT5G59800	82	159	181	103	102	101
AT5G59810	1	0	0	1	2	0
AT5G59820	48	87	65	5751	4375	3538
AT5G59830	142	239	262	258	196	148
AT5G59840	170	367	324	505	513	310
AT5G59845	0	2	1	3	1	5
AT5G59850	525	1480	1367	1958	1580	1085
AT5G59860	0	0	2	0	0	0
AT5G59865	6	6	14	0	1	1
AT5G59870	102	240	215	269	185	143
AT5G59880	2523	3983	4272	9613	9298	7510
AT5G59890	922	1712	1631	4483	4030	2874
AT5G59895	1	1	1	3	6	6
AT5G59900	73	101	73	22	26	23
